Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,Agilent Technologies,118.86,-0.39,-0.33%,119.57,117.71,2249263,2023-08-21
AAL,American Airlines Gp,15.16,0.12,0.80%,15.2,14.95,23647701,2023-08-21
AAP,Advance Auto Parts Inc,68.2,-1.63,-2.33%,69.99,67.26,2496254,18:30 ET
AAPL,Apple Inc,175.84,1.35,0.77%,176.13,173.74,46234996,2023-08-21
ABBV,Abbvie Inc,150.16,0.02000000000001,0.01%,150.35,148.88,3944816,18:30 ET
ABC,Amerisourcebergen Corp,180.98,0.57999999999998,0.32%,181.33,179.76,1030398,18:30 ET
ABT,Abbott Laboratories,103.87,0.16000000000001,0.15%,104.405,103.36,2954658,18:30 ET
ACGL,Arch Capital Grp Ltd,74.95,-0.29,-0.39%,75.7,73.74,1212400,2023-08-21
ACN,Accenture Plc,306.51,3.57,1.18%,307.29,303.04,1072365,18:30 ET
ADBE,Adobe Systems Inc,520.47,12.34,2.43%,522.98,510.29,2426600,2023-08-21
ADI,Analog Devices,177.22,1.47,0.84%,177.66,174.22,3345800,2023-08-21
ADM,Archer Daniels Midland,82.51,-0.31999999999999,-0.39%,83,81.985,2490110,18:30 ET
ADP,Automatic Data Procs,251.11,0.06,0.02%,252.34,249.91,1205300,2023-08-21
ADSK,Autodesk Inc,202.02,2.34,1.17%,202.92,199.74,951200,2023-08-21
AEE,Ameren Corp,80.07,-0.5,-0.62%,80.62,79.3675,1373241,18:30 ET
AEP,American Electric Power Company,78.56,-0.46,-0.58%,79.17,77.8,2571200,2023-08-21
AES,The Aes Corp,17.91,-0.1,-0.56%,17.98,17.77,3849887,18:30 ET
AFL,Aflac Inc,74.45,-0.39999999999999,-0.53%,75.01,74.175,2053423,18:30 ET
AIG,American International Group,57.79,-0.16,-0.28%,58.23,57.38,1900363,18:30 ET
AIZ,Assurant Inc,141.53,0.81999999999999,0.58%,142.73,140.82,409063,18:30 ET
AJG,Arthur J. Gallagher & Company,221.44,0.88999999999999,0.40%,222.64,219.72,601386,18:30 ET
AKAM,Akamai Technologies,100.59,-0.31,-0.31%,101.59,100.34,1169500,2023-08-21
ALB,Albemarle Corp,188.07,4.68,2.55%,188.54,185.7,1786916,18:30 ET
ALGN,Align Technology,342.59,-7.77,-2.22%,351.94,342.28,590200,2023-08-21
ALK,Alaska Air Group,42.95,0.18,0.42%,43.21,42.33,1986699,18:30 ET
ALL,Allstate Corp,105.29,-0.89999999999999,-0.85%,106.56,104.29,1547924,18:30 ET
ALLE,Allegion Plc,107.44,-0.19,-0.18%,108.09,106.09,784675,18:30 ET
AMAT,Applied Materials,148.77,6.11,4.28%,149.22,143.16,8119900,2023-08-21
AMCR,Amcor Plc,9.45,-0.12,-1.25%,9.555,9.41,6055548,18:30 ET
AMD,Adv Micro Devices,108.22,2.77,2.63%,108.54,105.67,49242102,2023-08-21
AME,Ametek Inc,154.62,0.17000000000002,0.11%,155.01,153.03,616753,18:30 ET
AMGN,Amgen Inc,260.7,-1.12,-0.43%,262.47,259.01,2324000,2023-08-21
AMP,Ameriprise Financial Services,333.05,0.68000000000001,0.20%,335.0126,330.86,296782,18:30 ET
AMT,American Tower Corp,175.02,-1.43,-0.81%,175.88,172.55,1998499,18:30 ET
AMZN,Amazon.com Inc,134.68,1.46,1.10%,135.18,132.71,41379102,2023-08-21
ANET,Arista Networks Inc,184.67,4.13,2.29%,186.65,181.33,2151087,18:30 ET
ANSS,Ansys Inc,296.52,3.93,1.34%,297.38,293.13,394800,2023-08-21
AON,AON Plc,323.75,-0.31,-0.10%,326.25,320.06,723822,18:30 ET
AOS,Smith A.O. Corp,68.86,-0.060000000000002,-0.09%,69.24,68.14,598980,18:30 ET
APA,Apa Corp,43.9,-0.32,-0.72%,44.78,43.52,2603700,2023-08-21
APD,Air Products and Chemicals,285.21,0.38999999999999,0.14%,287.51,284.055,477683,18:30 ET
APH,Amphenol Corp,85.47,0.23999999999999,0.28%,85.76,84.945,1706983,18:30 ET
APTV,Aptiv Plc,96.56,0.68000000000001,0.71%,97.46,95.74,1185846,18:30 ET
ARE,Alexandria Real Estate Equities,114.27,-0.83,-0.72%,115.1,113.1001,674416,18:30 ET
ATO,Atmos Energy Corp,116.74,-0.22,-0.19%,117.32,115.51,490977,18:30 ET
ATVI,Activision Blizzard,90.72,0.25,0.28%,90.97,90.65,4637300,2023-08-21
AVB,Avalonbay Communities,177.59,-1.72,-0.96%,179.56,175.99,458616,18:30 ET
AVGO,Broadcom Ltd,865.14,39.3,4.76%,867.34,831.77,3000000,2023-08-21
AVY,Avery Dennison Corp,177.67,0.51999999999998,0.29%,178.04,176.38,214289,18:30 ET
AWK,American Water Works,137.49,-1.47,-1.06%,139.035,136.5801,650436,18:30 ET
AXON,Axon Enterprise Inc,196.94,-3.16,-1.58%,201.07,195.67,432300,2023-08-21
AXP,American Express Company,160.88,0.65000000000001,0.41%,161.6465,160.08,2070591,18:30 ET
AZO,Autozone,2449.8,-8.5898999999999,-0.35%,2459.1499,2424.5549,132972,18:30 ET
BA,Boeing Company,227.22,0.56999999999999,0.25%,227.6899,225.1006,2733425,18:30 ET
BAC,Bank of America Corp,29.15,0.039999999999999,0.14%,29.3,28.8,34949497,18:30 ET
BALL,Ball Corporation,53.04,-1.53,-2.80%,54.91,52.76,1552771,18:30 ET
BAX,Baxter International Inc,42.03,0.24,0.57%,42.215,41.72,3121305,18:30 ET
BBWI,Bath & Body Works Inc,36.72,0.2,0.55%,37.245,36.46,3533646,18:30 ET
BBY,Best Buy Company,78.88,0.28999999999999,0.37%,79.5,78.46,1458301,18:30 ET
BDX,Becton Dickinson and Company,275.62,1.93,0.71%,276.25,272.45,1070322,18:30 ET
BEN,Franklin Resources,25.8,-0.46,-1.75%,26.35,25.59,2863970,18:30 ET
BF.B,Brown Forman Inc Cl B,67.77,-0.090000000000003,-0.13%,67.98,67.38,914871,18:30 ET
BG,Bunge Ltd,112.99,0.45999999999999,0.41%,113.63,112.4,894221,18:30 ET
BIIB,Biogen Inc,265.07,3.92,1.50%,266.25,260.42,755200,2023-08-21
BIO,Bio-Rad Laboratories,380.15,-0.28000000000003,-0.07%,382.0526,376.105,90316,18:30 ET
BK,Bank of New York Mellon Corp,43.76,-0.26000000000001,-0.59%,44.13,43.215,2943502,18:30 ET
BKNG,Booking Holdings Inc,3052,-6.43,-0.21%,3074.31,3019.27,234400,2023-08-21
BKR,Baker Hughes Company,35.05,-0.21,-0.60%,35.49,34.73,3910100,2023-08-21
BLK,Blackrock Inc,671.59,1.34,0.20%,676.95,666.5,434348,18:30 ET
BMY,Bristol-Myers Squibb Company,61.91,-0.15000000000001,-0.24%,62.49,61.9,9898007,18:30 ET
BR,Broadridge Financial Solutions Llc,177.93,-1.07,-0.60%,180.16,177.29,1062026,18:30 ET
BRK.B,Berkshire Hathaway Cl B,352.09,-0.47000000000003,-0.13%,354.18,349.61,2542091,18:30 ET
BRO,Brown & Brown,71.64,0.25,0.35%,71.85,70.94,766756,18:30 ET
BSX,Boston Scientific Corp,50.42,0.23,0.46%,50.57,50.05,6199759,18:30 ET
BWA,Borgwarner Inc,39.87,0.23,0.58%,40.18,39.49,1303810,18:30 ET
BXP,Boston Properties,62.82,-0.48,-0.76%,63.2,61.9,959977,18:30 ET
C,Citigroup Inc,42.07,-0.18,-0.43%,42.7599,41.67,14473279,18:30 ET
CAG,Conagra Brands Inc,29.79,-0.4,-1.32%,30.12,29.48,4676804,18:30 ET
CAH,Cardinal Health,86.94,1.09,1.27%,87.35,85.7,2964410,18:30 ET
CARR,Carrier Global Corp,53.57,0.18,0.34%,53.725,52.85,3843879,18:30 ET
CAT,Caterpillar Inc,272.75,-1.05,-0.38%,276.235,268.8,2207415,18:30 ET
CB,Chubb Ltd,200.05,0.15000000000001,0.08%,200.95,198.1,1965207,18:30 ET
CBOE,CBOE Global Markets Inc,150.59,0.47,0.31%,151.205,149.87,607387,18:30 ET
CBRE,CBRE Group Inc,81.49,-0.80000000000001,-0.97%,82.955,80.59,985713,18:30 ET
CCI,Crown Castle Inc,99.24,-0.99000000000001,-0.99%,100.06,97.94,2965651,18:30 ET
CCL,Carnival Corp,15.71,0.12,0.77%,15.85,15.5,18821442,18:30 ET
CDAY,Ceridian Hcm Holding Inc,69.83,-0.030000000000001,-0.04%,70.77,69.53,970199,18:30 ET
CDNS,Cadence Design Sys,225,4.45,2.02%,226.26,221.66,1341800,2023-08-21
CDW,CDW Corp,201.42,1.12,0.56%,201.98,199.76,350600,2023-08-21
CE,Celanese Corp,118.01,0.31,0.26%,118.81,117.02,1013525,18:30 ET
CEG,Constellation Energy Corp,106.11,1.34,1.28%,106.46,104.28,1376900,2023-08-21
CF,Cf Industries Holdings,79.13,0.079999999999998,0.10%,79.9248,78.815,1394994,18:30 ET
CFG,Citizens Financial Group Inc/Ri,27.44,-0.27,-0.97%,27.9,27.3,4623882,18:30 ET
CHD,Church & Dwight Company,92.45,-0.64,-0.69%,93.04,91.93,928147,18:30 ET
CHRW,C.H. Robinson Ww,93.52,-1.47,-1.55%,95.3,93.06,825800,2023-08-21
CHTR,Charter Communications Inc,420.08,-0.39,-0.09%,424.47,416.76,1144800,2023-08-21
CI,The Cigna Group,281.26,5.25,1.90%,281.59,276.01,1345225,18:30 ET
CINF,Cincinnati Financial,103.82,-0.05,-0.05%,104.11,103.05,504900,2023-08-21
CL,Colgate-Palmolive Company,73.8,-0.75,-1.01%,74.38,73.51,3157293,18:30 ET
CLX,Clorox Company,150.07,-3.78,-2.46%,152.89,148.96,1384568,18:30 ET
CMA,Comerica Inc,47.33,0.059999999999995,0.13%,47.66,46.62,1216881,18:30 ET
CMCSA,Comcast Corp A,45.86,0.1,0.22%,46.06,45.53,12331600,2023-08-21
CME,CME Group Inc,202.6,-1.13,-0.55%,203.45,201.02,1019000,2023-08-21
